,district_x,year,pov,gap,sev,mys,gdpgr,unemp,shr_agr,shr_ind,inv_shr,subs_rice,gdi,island,code,COORD_X,COORD_Y,districtID,district_y,provinceID,province,islandID,Island,mys2010,inv2010,ln_gdp2010,ln_gdp2018,g,gwr_x0,gwr_x1,mgwr_x0,mgwr_x1
0,Simeulue,2010,23.61,4.29,1.19,8.17,4.94,12.25,1.6,0.18,0.045172788,95.19,68.59,Sumatra,1101,96.1496929,2.6142773999999998,1101,Simeulue,11,Aceh,1,Sumatra,8.1700001,0.04517279900000001,9.494976,9.7159357,0.22095966,43.043478259594096,-3.050630266979778,32.98096087922657,-1.4829237506738515
1,Aceh Singkil,2010,19.38,2.91,0.65,6.65,4.97,9.31,1.53,0.49,0.058373004000000006,77.65,76.53,Sumatra,1102,97.4241039,2.2317228,1102,Aceh Singkil,11,Aceh,1,Sumatra,6.650000099999999,0.0494316,9.370121000000001,9.523884800000001,0.15376377,45.608012934960016,-3.681903750935317,31.414466302357063,-1.672857269090001
2,Aceh Selatan,2010,15.93,3.1,0.91,7.5,4.13,11.34,2.93,1.18,0.054592426,97.89,88.87,Sumatra,1103,97.4045487,3.1792483,1103,Aceh Selatan,11,Aceh,1,Sumatra,7.5,0.0272211,9.5419092,9.7588205,0.21691132,42.40507158153423,-3.245081924636409,30.710085387159655,-1.7534710181653557
3,Aceh Tenggara,2010,16.78,2.62,0.75,8.38,4.98,9.9,3.94,0.31,0.061533200999999996,95.21,89.55,Sumatra,1104,97.72422990000001,3.3179176,1104,Aceh Tenggara,11,Aceh,1,Sumatra,8.380000099999998,0.039365102,9.471756,9.6525288,0.18077278,40.12225301506015,-3.038194565206664,30.01964955109148,-1.821444867404236
4,Aceh Timur,2010,18.42,2.98,0.71,7.04,3.54,6.13,10.34,1.62,0.126076582,98.12,83.2,Sumatra,1105,97.7579735,4.782638200000001,1105,Aceh Timur,11,Aceh,1,Sumatra,7.04,0.0156378,9.907654800000001,9.813142800000001,-0.09451198599999999,37.721071843690574,-2.515538862871609,31.303490630965378,-1.67943339859724
5,Aceh Tengah,2010,20.09,2.88,0.62,9.07,4.32,2.55,7.03,0.59,0.127777688,84.91,95.66,Sumatra,1106,96.8255364,4.6086497,1106,Aceh Tengah,11,Aceh,1,Sumatra,9.069999699999999,0.0250811,10.021339999999999,10.20443,0.18308926,37.69327489360611,-2.346002159739175,32.21908480072855,-1.5828571988316997
6,Aceh Barat,2010,24.42,4.76,1.53,7.64,5.54,3.52,4.78,0.68,0.12305810000000002,80.24,83.16,Sumatra,1107,96.1818553,4.4072818,1107,Aceh Barat,11,Aceh,1,Sumatra,7.639999900000001,0.0215645,10.14925,10.37635,0.22710037,37.740432319091695,-2.2726535056850192,32.61482698950997,-1.5408396738912056
7,Aceh Besar,2010,18.8,3.71,1.04,9.43,5.68,11.6,5.6,1.63,0.190057085,64.37,93.77,Sumatra,1108,95.2756801,5.5577998,1108,Aceh Besar,11,Aceh,1,Sumatra,9.430000300000001,0.0106362,9.904574400000001,10.042489999999999,0.13791561,37.49179850229686,-2.1773959464791086,32.891143390171926,-1.5153953641233795
8,Pidie,2010,23.8,3.44,0.74,7.94,4.42,7.56,8.69,1.8,0.077031041,94.15,92.76,Sumatra,1109,95.9103688,5.3408668,1109,Pidie,11,Aceh,1,Sumatra,7.940000099999999,0.0093815,9.5447655,9.739793800000001,0.19502831,37.32472146603713,-2.189463910304018,32.68779762021274,-1.5353447464744843
9,Bireuen,2010,19.5,4.11,1.31,8.34,5.69,7.32,9.31,1.31,0.049431639000000006,95.24,91.41,Sumatra,1110,96.71047759999999,5.2064998,1110,Bireuen,11,Aceh,1,Sumatra,8.3400002,0.008440399999999999,9.8073425,9.9418936,0.13455105,37.17617002211332,-2.2450734209790926,32.363789086810634,-1.568117789242356
